label,case_count,cases_with_label,mean_voxel_count,std_voxel_count,mean_percentage_of_total,std_percentage_of_total,min_voxel_count,max_voxel_count
1,100,100,51502598.32,7896437.722247129,97.63759916048544,0.5631630274836623,40179170,88686848
2,100,100,1078805.27,223077.4046582421,2.075520180726263,0.464474251605097,713815,2244305
3,100,100,148562.25,69885.24090312274,0.2863335490353607,0.13622792801904346,67314,715791
4,100,100,299.76,757.0252719691726,0.0005471097529262391,0.0012466912300405585,2,6403
