config_id,n_estimators,max_depth,min_samples_leaf,max_features,mean_pancreas_dice,std_pancreas_dice,mean_kidney_dice,std_kidney_dice,mean_liver_dice,std_liver_dice,mean_mean_foreground_dice,std_mean_foreground_dice,evaluated_cases
config_001,100,5,1,sqrt,0.6688220381812422,0.1105050730306389,0.9285177656052058,0.014030689604986412,0.9177828278217586,0.20577290148688124,0.8383742105360689,0.07691765977279226,20
config_002,100,5,1,all,0.7134201972587287,0.10119112145047919,0.9273576261487305,0.01453992820107928,0.9176506432145063,0.20583581086417796,0.8528094888739884,0.07728152844442308,20
config_003,100,5,50,sqrt,0.6650470697906805,0.10951647030641212,0.9274496922148352,0.014982071160160544,0.9265751136571387,0.16883862196463198,0.8396906252208849,0.0679357133814737,20
config_004,100,5,50,all,0.713418141341446,0.10119268863422982,0.9272289933622467,0.014715943597755708,0.9176506432145063,0.20583581086417796,0.8527659259727329,0.07718866836043507,20
config_005,100,10,1,sqrt,0.22188362956211596,0.12820910540709968,0.9252152176191777,0.0120498091498776,0.9319879379982569,0.15062120854222674,0.6930289283931834,0.06883115408117693,20
config_006,100,10,1,all,0.18800789718395344,0.2259091009468822,0.924113078324349,0.01247404490960039,0.9306121026896618,0.1523526108822212,0.680911026065988,0.095657168431531,20
config_007,100,10,50,sqrt,0.43419211996528845,0.19712696437380353,0.9233773494092402,0.014826381118395906,0.9319625560812194,0.1461841836214086,0.7631773418185825,0.08426687479434881,20
config_008,100,10,50,all,0.18718330081525972,0.2244182033974807,0.9231274586005327,0.013630178847383934,0.9308466107980932,0.1503392136924754,0.6803857900712951,0.0948082957171076,20
config_009,100,,1,sqrt,0.10177245421233864,0.0517000133091314,0.9051763443165124,0.01628396218179721,0.925255923995902,0.13602026296523304,0.6440682408415842,0.051013989977929025,20
config_010,100,,1,all,0.10130013857447626,0.05151573158043566,0.9037211285599038,0.016628873860192957,0.9253449986733815,0.13177775436110506,0.6434554219359205,0.04994010512851962,20
config_011,100,,50,sqrt,0.11293231489711675,0.05524994994926218,0.9222927573897813,0.013356379620822142,0.9346336348312304,0.13590656779347118,0.6566195690393761,0.049701295818414704,20
config_012,100,,50,all,0.09517502677154946,0.04797910600136796,0.9242969743127528,0.013121816155052665,0.9338604505823364,0.13677464477792953,0.6511108172222129,0.049024439483302235,20
config_013,300,5,1,sqrt,0.670271767768667,0.11071342265751971,0.9292924629736529,0.013846128715147595,0.9178117017897683,0.20580179713187832,0.8391253108440294,0.07674855863405197,20
config_014,300,5,1,all,0.7134190669412886,0.10119096480645301,0.9273709345099992,0.01452668136852306,0.9176268743341038,0.20583143069367532,0.852805625261797,0.07727464422549828,20
config_015,300,5,50,sqrt,0.668904724351831,0.1107815015466732,0.9289609762642268,0.013776119093702681,0.918229387010326,0.2042446060876388,0.838698362542128,0.07637916709872397,20
config_016,300,5,50,all,0.713417514981287,0.10119273677996207,0.9272056997819696,0.014692535792302668,0.9176268743341038,0.20583143069367532,0.8527500296991202,0.07716477400628594,20
config_017,300,10,1,sqrt,0.2764244086401474,0.1944549211186346,0.9254982071287549,0.012333586619414071,0.9323043079402173,0.1490784031871684,0.7114089745697065,0.08473439076621823,20
config_018,300,10,1,all,0.18875826260309295,0.22564581667714864,0.924240233214271,0.012398291759267252,0.931172496071904,0.14977135553353643,0.681390330629756,0.09500122842817914,20
config_019,300,10,50,sqrt,0.39727365523802144,0.2282192526773611,0.9235258873031406,0.014174976537927106,0.9307025764723287,0.1524064673811103,0.7505007063378303,0.09419040813308689,20
config_020,300,10,50,all,0.18790862529905522,0.2240867219754392,0.9231809308513382,0.013648683002895474,0.93097995708727,0.14970797250753884,0.680689837745888,0.0945474310803267,20
config_021,300,,1,sqrt,0.10123876696046734,0.05185215591844513,0.9054972827553277,0.01625666743126033,0.92551602553686,0.13482342720957305,0.6440840250842184,0.05072097697940695,20
config_022,300,,1,all,0.10073119109428985,0.05159718335047702,0.9041338499154158,0.016239302746073866,0.9251864922600228,0.1321134293394787,0.6433505110899095,0.05014504318535889,20
config_023,300,,50,sqrt,0.11485192749349442,0.05576024755323423,0.9222403388885718,0.014173792376254242,0.9335446885238786,0.1401011828897847,0.6568789849686484,0.05058757336188065,20
config_024,300,,50,all,0.09376520076662691,0.04618179004817577,0.9242967982799053,0.01316517682693291,0.9341140724466838,0.13560493108355012,0.6507253571644054,0.04835001509492544,20
