pair,label,class,mean_case_dsc,mean_case_nsd,mean_case_binary_kappa,micro_dsc,micro_binary_kappa,tp,tn,fp,fn,cases_with_dsc,cases_with_nsd,cases_with_binary_kappa
combined_mask_vs_random_forest_config_002,0,background,0.9982870607413186,nan,0.9344297531240268,0.9987152858373182,0.9497921625631865,1017964335,25456503,1378442,1240509,50,0,50
combined_mask_vs_random_forest_config_002,1,pancreas,0.8080800985649771,0.5080173110581682,0.8078386464983978,0.8401726400671078,0.8399998882454559,962519,1044711067,319389,46814,50,50,50
combined_mask_vs_random_forest_config_002,2,kidney,0.9332988424505944,0.7621283016583209,0.9329944313439813,0.9428470442364574,0.94261393685043,4011982,1041541415,403905,82487,50,50,50
combined_mask_vs_random_forest_config_002,3,liver,0.9459383422901362,0.680617152890437,0.9449421513385013,0.9584743025801795,0.9576087221706213,20477976,1023787405,521241,1253167,50,50,50
