label,class,mean_case_dsc,mean_case_nsd,micro_dsc,tp,fp,fn,cases_with_dsc,cases_with_nsd
0,background,0.9982374315412457,0.9654018701282533,0.9981696135361718,4648769409,11330465,5718831,20,20
1,pancreas,0.3610917070703285,0.2656903587594941,0.37485524202149983,622944,259069,1818694,20,20
2,kidney,0.6161870592011274,0.5468758097286226,0.6581928462673771,4640433,236530,4583131,20,20
3,liver,0.8960241778423862,0.7046877831524945,0.8929302453104587,42742126,5272432,4977840,20,20
