label,class,mean_case_dsc,mean_case_nsd,micro_dsc,tp,fp,fn,cases_with_dsc,cases_with_nsd
0,background,0.9967965587236763,0.9583791469096556,0.9968550554759356,4651833270,26696855,2654970,20,20
1,pancreas,0.7267991286315798,0.548333477156946,0.7342318360641992,1628734,366194,812904,20,20
2,kidney,0.9216238275148656,0.8018160776640773,0.9213118737732082,8796004,1074952,427560,20,20
3,liver,0.6067872585515399,0.4402499827646678,0.6252069581507687,22256544,1220855,25463422,20,20
