case,pair,rater_a,rater_b,label,class,dsc,nsd,binary_kappa,tp,tn,fp,fn
s0014,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.5958979167916083,0.37526869001194574,0.5934185500271298,109299,24935629,148038,202
s0014,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.8537388045011647,0.446121312396974,0.8508879074989881,416365,24634141,125533,17129
s0015,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9975765015723218,nan,0.9240933766554961,28519963,873521,23379,115193
s0015,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.5232470153018328,0.1814440778024834,0.5229246551401885,12447,29496927,20890,1792
s0015,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.8877995068110189,0.6122713984432295,0.8872274309462721,134649,29363373,33790,244
s0015,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.9466151823215652,0.5917695055356267,0.9451919935111486,726388,28723738,60550,21380
s0016,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.998928481118667,nan,0.958740066770449,19189064,491583,7993,33174
s0016,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.8879360035990946,0.5843024567061701,0.8877348491423546,31579,19682264,6829,1142
s0016,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.9183924817608508,0.6353531609359354,0.9179748118965936,92838,19612477,16446,53
s0016,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.9777678358625299,0.7611749607489354,0.9773363138080574,367166,19337951,9899,6798
s0019,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9981391110379164,nan,0.9379755485373963,19246032,560492,13961,57802
s0019,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.868983862386948,0.591511683741451,0.8688002208111808,24501,19846398,6929,459
s0019,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.8894382022471911,0.5995900912675746,0.8890209734465352,67286,19794273,16693,35
s0019,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.9516302102314892,0.64341919621247,0.950401849778359,468705,19361935,34180,13467
s0022,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9975439885543572,nan,0.8565467555525941,21331339,319873,8909,96129
s0022,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.7899024114847971,0.5093459640464504,0.7897831563682675,9794,21741246,3444,1766
s0022,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.6411610896290696,0.42129195334547065,0.6396625189307504,66574,21615157,74496,23
s0022,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.9505405811613468,0.6640394710008327,0.9499515829253231,243490,21487421,18204,7135
s0024,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9972633367533966,nan,0.8721403253605099,39067506,749412,19468,194948
s0024,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.8518625469246318,0.49997523547237993,0.8517737887120393,20650,40003502,6150,1032
s0024,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.897514653218343,0.6102807765084183,0.897230308355963,100374,39908037,22432,491
s0024,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.8721027946265562,0.4701804540712849,0.8697838322900336,628388,39218635,166366,17945
s0028,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.998811377313477,nan,0.9182926294514949,34670345,471131,12119,70399
s0028,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.7721702010465437,0.43061789195731925,0.7719910793332904,22430,35188328,12941,295
s0028,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.9473754329869438,0.7847480555757482,0.9472745580896867,63999,35152885,6874,236
s0028,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.9252359375450951,0.6241632529937198,0.9243448595790145,384702,34777120,50584,11588
s0029,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9985985644706931,nan,0.9078019883825934,37350302,524863,21168,83667
s0029,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.8096573458323318,0.4871028169940864,0.8095647061668676,15158,37957715,5708,1419
s0029,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.9140208099088005,0.5463637917517189,0.9137682477293422,102427,37858303,19240,30
s0029,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,3,liver,0.9102032040528828,0.5890944332012591,0.9091370467471834,406403,37493409,59594,20594
s0030,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,0,background,0.9989915647151256,nan,0.9583374235013028,29505081,702828,15488,44080
s0030,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,1,pancreas,0.8585300369168811,0.46550311829254104,0.8584268670199002,19186,30241968,5709,614
s0030,combined_mask_vs_clip_unet,combined_mask.nii.gz,clip_unet,2,kidney,0.9171316607743749,0.6452717794477119,0.9168755099250676,86126,30165787,15521,43
