pair,label,class,mean_case_dsc,mean_case_nsd,mean_case_binary_kappa,micro_dsc,micro_binary_kappa,tp,tn,fp,fn,cases_with_dsc,cases_with_nsd,cases_with_binary_kappa
combined_mask_vs_clip_unet,0,background,0.9968937356292545,nan,0.8969286487487415,0.9973472099109886,0.9027854083145179,1014799126,25842244,992701,4405718,50,0,50
combined_mask_vs_clip_unet,1,pancreas,0.7815269519649639,0.4770734346975009,0.7812683521137822,0.8194662453216123,0.8192697342352844,947287,1044675115,355341,62046,50,50,50
combined_mask_vs_clip_unet,2,kidney,0.8775728362103834,0.6385518121559091,0.8769893556935586,0.8852023054012521,0.8847045602412106,4040274,1040951587,993733,54195,50,50,50
combined_mask_vs_clip_unet,3,liver,0.9125226669597711,0.6135477463294212,0.9104022573364517,0.9135524435903666,0.9116288677210136,20848395,1021245714,3062932,882748,50,50,50
