pair,mean_case_multiclass_kappa,cases_with_multiclass_kappa,mean_case_exact_agreement,cases_with_exact_agreement,mean_case_foreground_multiclass_kappa,cases_with_foreground_multiclass_kappa,mean_case_foreground_exact_agreement,cases_with_foreground_exact_agreement
annotation_1_vs_annotation_2,0.9730048132123482,90,0.9992562789200381,90,0.9996415547714099,90,0.9481724563186429,90
annotation_1_vs_annotation_3,0.9613510552679448,90,0.9991051318771551,90,0.9996049905907717,90,0.9355785705043226,90
annotation_1_vs_weighted,0.9309122618115689,90,0.9980571391949401,90,0.9974747170102987,90,0.8765300088089235,90
annotation_2_vs_annotation_3,0.9704476921668961,90,0.9993696355630183,90,0.9996948636097819,90,0.9527147905678446,90
annotation_2_vs_weighted,0.9307387104096667,90,0.998049429149453,90,0.9970364690320188,90,0.8762887643701521,90
annotation_3_vs_weighted,0.9198199316339725,90,0.9979141336635251,90,0.99721545570448,90,0.8649509106793289,90
