case,pair,rater_a,rater_b,label,class,dsc,nsd,binary_kappa,tp,tn,fp,fn
UKCHLL002,annotation_1_vs_weighted,annotation_1.nii.gz,weighted,1,pancreas,0.7414744411220276,nan,0.7414058942213728,41659,211479499,16980,12070
UKCHLL002,annotation_1_vs_weighted,annotation_1.nii.gz,weighted,2,kidney,0.9104098401976105,nan,0.9102843944155191,270897,211225995,3821,49495
UKCHLL002,annotation_1_vs_weighted,annotation_1.nii.gz,weighted,3,liver,0.971544301200518,nan,0.9713435809010253,1439612,210026266,41876,42454
UKCHLL002,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,0,background,0.9998834925170617,nan,0.986958162490045,209635926,1865428,27031,21823
UKCHLL002,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,1,pancreas,0.9435280130777233,nan,0.943510052239283,63490,211479118,5176,2424
UKCHLL002,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,2,kidney,0.9802058809315042,nan,0.9801787392650243,283948,211254792,4996,6472
UKCHLL002,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,3,liver,0.9895197480825346,nan,0.9894432547379257,1516818,210001260,12823,19307
UKCHLL002,annotation_2_vs_weighted,annotation_2.nii.gz,weighted,0,background,0.9996362335480202,nan,0.9588854837313054,209602215,1795445,60742,91806
UKCHLL002,annotation_2_vs_weighted,annotation_2.nii.gz,weighted,1,pancreas,0.7757016217982761,nan,0.7756376846470485,47471,211475284,21195,6258
UKCHLL002,annotation_2_vs_weighted,annotation_2.nii.gz,weighted,2,kidney,0.9231458505652054,nan,0.923035303655632,281253,211222125,7691,39139
UKCHLL002,annotation_2_vs_weighted,annotation_2.nii.gz,weighted,3,liver,0.9706986768633203,nan,0.9704886621223168,1461730,210000231,67911,20336
UKCHLL002,annotation_3_vs_weighted,annotation_3.nii.gz,weighted,0,background,0.9996122873166841,nan,0.9562398635912492,209594591,1793029,63158,99430
UKCHLL002,annotation_3_vs_weighted,annotation_3.nii.gz,weighted,1,pancreas,0.7885793569201709,nan,0.7885201756051694,47174,211477739,18740,6555
UKCHLL002,annotation_3_vs_weighted,annotation_3.nii.gz,weighted,2,kidney,0.9193237853873205,nan,0.9192074294392427,280767,211220163,9653,39625
UKCHLL002,annotation_3_vs_weighted,annotation_3.nii.gz,weighted,3,liver,0.9670355520906397,nan,0.9667987868887948,1459349,209991366,76776,22717
UKCHLL003,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,0,background,0.9995643735166433,nan,0.9777645263490572,222472156,4350634,141243,52671
UKCHLL003,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,1,pancreas,0.9167619007158485,nan,0.9167187831733269,107896,226889215,5482,14111
UKCHLL003,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,2,kidney,0.969008892713712,nan,0.9689134280172997,675593,226297897,15851,27363
UKCHLL003,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,3,liver,0.9819444140492254,nan,0.9816508183349314,3567108,223318415,31375,99806
UKCHLL003,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,0,background,0.999512240160035,nan,0.975186758190069,222445645,4353953,167754,49352
UKCHLL003,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,1,pancreas,0.9154901195769146,nan,0.9154467177340755,106764,226890229,6614,13097
UKCHLL003,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,2,kidney,0.9629749856380445,nan,0.962860104797772,676371,226288322,15073,36938
UKCHLL003,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,3,liver,0.9800283243355995,nan,0.9797026106534124,3570743,223300427,27740,117794
UKCHLL003,annotation_1_vs_weighted,annotation_1.nii.gz,weighted,0,background,0.9993067886652004,nan,0.9645181074178356,222427177,4280935,186222,122370
UKCHLL003,annotation_1_vs_weighted,annotation_1.nii.gz,weighted,1,pancreas,0.8292505004580464,nan,0.8291619126309554,97762,226878682,15616,24644
UKCHLL003,annotation_1_vs_weighted,annotation_1.nii.gz,weighted,2,kidney,0.9376509336472201,nan,0.9374519022966502,678698,226247746,12746,77514
UKCHLL003,annotation_1_vs_weighted,annotation_1.nii.gz,weighted,3,liver,0.9750753510981321,nan,0.9746744669080186,3503944,223333626,94539,84595
