case,pair,rater_a,rater_b,label,class,dsc,nsd,binary_kappa,tp,tn,fp,fn
UKCHLL005,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,3,liver,0.9952892117587402,0.9944431519396618,0.9952441592637186,2273887,238877068,8902,12623
UKCHLL005,annotation_1_vs_swin5050,annotation_1.nii.gz,swin5050,0,background,0.9988806686575311,nan,0.8996805172457056,238214723,2423877,108603,425277
UKCHLL005,annotation_1_vs_swin5050,annotation_1.nii.gz,swin5050,1,pancreas,0.18596077666805505,0.1626333617682837,0.1857369524379252,20984,240967782,164331,19383
UKCHLL005,annotation_1_vs_swin5050,annotation_1.nii.gz,swin5050,2,kidney,0.6473695382120724,0.5233261228234835,0.6469935785583023,186043,240783757,195007,7673
UKCHLL005,annotation_1_vs_swin5050,annotation_1.nii.gz,swin5050,3,liver,0.9658180217961025,0.8123635082653252,0.9654902611465328,2212296,238803590,70493,86101
UKCHLL005,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,0,background,0.999673231330481,nan,0.9725345919290962,238225270,2791470,65934,89806
UKCHLL005,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,1,pancreas,0.8810035377816943,0.7981705945404863,0.8809083792635864,169961,240956606,29351,16562
UKCHLL005,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,2,kidney,0.9564203739657852,0.9796192480183836,0.9563512081883105,365519,240773651,14458,18852
UKCHLL005,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,3,liver,0.9828643235464685,0.960240450011637,0.9826997499552165,2254935,238838918,47052,31575
UKCHLL005,annotation_2_vs_swin5050,annotation_2.nii.gz,swin5050,0,background,0.998873200169138,nan,0.8996111735505263,238196899,2438175,94305,443101
UKCHLL005,annotation_2_vs_swin5050,annotation_2.nii.gz,swin5050,1,pancreas,0.21288473333083,0.19080189857738064,0.21266555811939744,25512,240958313,173800,14855
UKCHLL005,annotation_2_vs_swin5050,annotation_2.nii.gz,swin5050,2,kidney,0.6497203207987547,0.5372325321047119,0.6493472229192825,186370,240785157,193607,7346
UKCHLL005,annotation_2_vs_swin5050,annotation_2.nii.gz,swin5050,3,liver,0.9661628246685494,0.808388770560885,0.965836993854109,2222360,238794456,79627,76037
UKCHLL005,annotation_3_vs_swin5050,annotation_3.nii.gz,swin5050,0,background,0.9988583243424796,nan,0.8978347428743682,238205274,2422678,109802,434726
UKCHLL005,annotation_3_vs_swin5050,annotation_3.nii.gz,swin5050,1,pancreas,0.1766142183436908,0.16468683885870483,0.17638756159499144,20036,240965626,166487,20331
UKCHLL005,annotation_3_vs_swin5050,annotation_3.nii.gz,swin5050,2,kidney,0.6427337061722543,0.5088518364045491,0.6423516903713984,185778,240780171,198593,7938
UKCHLL005,annotation_3_vs_swin5050,annotation_3.nii.gz,swin5050,3,liver,0.9649233888495449,0.8058562557751031,0.9645867723668556,2212042,238799615,74468,86355
UKCHLL007,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,0,background,0.9996260983717615,nan,0.9635841723419615,254427662,2545269,124009,66324
UKCHLL007,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,1,pancreas,0.8831103230185582,0.7726495348356344,0.8830671230951821,83918,257057131,9779,12436
UKCHLL007,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,2,kidney,0.9618654123230782,0.9126495979250643,0.9617953365972721,453962,256673306,6789,29207
UKCHLL007,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,3,liver,0.9681395741397189,0.6674336057241175,0.9678806187518504,2007389,255023753,49756,82366
UKCHLL007,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,0,background,0.999581877746187,nan,0.9602027051477974,254355066,2595406,196605,16187
UKCHLL007,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,1,pancreas,0.8952279689121795,0.8040613889966267,0.8951878257840666,88406,257054165,5291,15402
UKCHLL007,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,2,kidney,0.938478428737923,0.8231160095855907,0.9383617802938615,458183,256645009,2568,57504
UKCHLL007,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,3,liver,0.968785441670148,0.7520734986799572,0.9685268085272055,2048817,254982420,8328,123699
UKCHLL007,annotation_1_vs_swin5050,annotation_1.nii.gz,swin5050,0,background,0.9984274250894393,nan,0.8390195365942766,254250686,2111662,300985,499931
UKCHLL007,annotation_1_vs_swin5050,annotation_1.nii.gz,swin5050,1,pancreas,0.20544781418692992,0.13098783818413032,0.20524278114412076,14900,257033115,78797,36452
UKCHLL007,annotation_1_vs_swin5050,annotation_1.nii.gz,swin5050,2,kidney,0.28785541673093734,0.3246362537791114,0.2874624166322588,78379,256697071,382372,5442
UKCHLL007,annotation_1_vs_swin5050,annotation_1.nii.gz,swin5050,3,liver,0.9312850794960296,0.7209044191370302,0.9307025665006335,2018383,254847028,38762,259091
UKCHLL007,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,0,background,0.9996640741263131,nan,0.9683637595839993,254347149,2645174,146837,24104
UKCHLL007,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,1,pancreas,0.9005305702381071,0.8782849628614989,0.9004918980764066,90126,257053228,6228,13682
UKCHLL007,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,2,kidney,0.960693032829557,0.945487813070074,0.9606166287904487,479797,256644205,3372,35890
UKCHLL007,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,3,liver,0.9737771249176789,0.7363186670547254,0.9735580809308929,2075251,254976244,14504,97265
UKCHLL007,annotation_2_vs_swin5050,annotation_2.nii.gz,swin5050,0,background,0.9983691275369294,nan,0.8349484445772257,254207045,2125706,286941,543572
UKCHLL007,annotation_2_vs_swin5050,annotation_2.nii.gz,swin5050,1,pancreas,0.19659323250240343,0.14544262981366962,0.19638387010374336,14519,257030077,81835,36833
UKCHLL007,annotation_2_vs_swin5050,annotation_2.nii.gz,swin5050,2,kidney,0.28400148150761034,0.3246451629416284,0.28360351088376035,80513,256676787,402656,3308
UKCHLL007,annotation_2_vs_swin5050,annotation_2.nii.gz,swin5050,3,liver,0.9299599356937774,0.6444671525120792,0.9293612388398723,2030674,254826709,59081,246800
UKCHLL007,annotation_3_vs_swin5050,annotation_3.nii.gz,swin5050,0,background,0.998326593198599,nan,0.8346422056453303,254134951,2176345,236302,615666
UKCHLL007,annotation_3_vs_swin5050,annotation_3.nii.gz,swin5050,1,pancreas,0.1951662799690642,0.12481249479487391,0.19495117437600148,15141,257023245,88667,36211
UKCHLL007,annotation_3_vs_swin5050,annotation_3.nii.gz,swin5050,2,kidney,0.27247676428004297,0.290581325943544,0.2720685806631122,81676,256645432,434011,2145
UKCHLL007,annotation_3_vs_swin5050,annotation_3.nii.gz,swin5050,3,liver,0.9346209766763521,0.7665934541564279,0.9340506959958438,2079527,254792801,92989,197947
UKCHLL008,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,0,background,0.999741710936488,nan,0.9762604347834315,270889996,2910512,104338,35634
UKCHLL008,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,1,pancreas,0.6941211374321056,0.5780640180944778,0.6940747734112802,30415,273883259,3361,23445
UKCHLL008,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,2,kidney,0.9717300801599549,0.9708741995109669,0.9716790996842434,479198,273433400,10919,16963
UKCHLL008,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,3,liver,0.9825490957589825,0.8873376812993695,0.9823920452427319,2400899,271454297,21354,63930
UKCHLL008,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,0,background,0.9997153970729737,nan,0.9738882148859292,270877583,2908668,116751,37478
UKCHLL008,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,1,pancreas,0.7031993964802928,0.6017276415008683,0.7031567733930325,28430,273888051,5346,18653
UKCHLL008,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,2,kidney,0.9655696518514642,0.9600583708687273,0.9655071163096376,479639,273426635,10478,23728
UKCHLL008,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,3,liver,0.9803884733018026,0.8718059457961894,0.9802116157567838,2400590,271443848,21663,74379
UKCHLL008,annotation_1_vs_swin5050,annotation_1.nii.gz,swin5050,0,background,0.999146238237202,nan,0.91717896496425,270885147,2592395,109187,353751
UKCHLL008,annotation_1_vs_swin5050,annotation_1.nii.gz,swin5050,1,pancreas,0.26185194208994267,0.2309585749516309,0.2617487426597453,10210,273872707,23566,33997
UKCHLL008,annotation_1_vs_swin5050,annotation_1.nii.gz,swin5050,2,kidney,0.809073915855161,0.6670946924878423,0.8087854359291317,342803,273435887,147314,14476
UKCHLL008,annotation_1_vs_swin5050,annotation_1.nii.gz,swin5050,3,liver,0.9484186789244081,0.7063403688560372,0.9479705214523263,2239382,271457513,182871,60714
UKCHLL008,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,0,background,0.999880309838155,nan,0.9891435367305533,270887919,2987708,37711,27142
UKCHLL008,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,1,pancreas,0.8842812280197735,0.867105950079603,0.8842599998999839,44631,273884168,9229,2452
UKCHLL008,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,2,kidney,0.9824157002104994,0.9893860283163136,0.9823835632905242,490976,273431928,5185,12391
UKCHLL008,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,3,liver,0.9927920129527563,0.9831039916731216,0.9927264333815327,2452096,271452778,12733,22873
UKCHLL008,annotation_2_vs_swin5050,annotation_2.nii.gz,swin5050,0,background,0.9991108160436494,nan,0.9147804899812901,270841222,2617174,84408,397676
UKCHLL008,annotation_2_vs_swin5050,annotation_2.nii.gz,swin5050,1,pancreas,0.24428197048956327,0.18942277025067009,0.24414798892041184,11978,273854391,41882,32229
UKCHLL008,annotation_2_vs_swin5050,annotation_2.nii.gz,swin5050,2,kidney,0.8029761904761905,0.6347959506509123,0.8026769580143172,342646,273429686,153515,14633
UKCHLL008,annotation_2_vs_swin5050,annotation_2.nii.gz,swin5050,3,liver,0.9496615371700499,0.719924199193351,0.9492204347401182,2262533,271438088,202296,37563
UKCHLL008,annotation_3_vs_swin5050,annotation_3.nii.gz,swin5050,0,background,0.9991000508399865,nan,0.9139081070989153,270833024,2619545,82037,405874
UKCHLL008,annotation_3_vs_swin5050,annotation_3.nii.gz,swin5050,1,pancreas,0.25203198597874904,0.20166106258658947,0.2519074596825639,11504,273860694,35579,32703
