case,pair,rater_a,rater_b,label,class,dsc,nsd,binary_kappa,tp,tn,fp,fn
UKCHLL005,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,3,liver,0.9952892117587402,0.9944431519396618,0.9952441592637186,2273887,238877068,8902,12623
UKCHLL005,annotation_1_vs_clip_unet,annotation_1.nii.gz,clip_unet,0,background,0.9989622245196982,nan,0.9133166189203953,238037877,2640030,285449,209124
UKCHLL005,annotation_1_vs_clip_unet,annotation_1.nii.gz,clip_unet,1,pancreas,0.5963868882891864,0.4054304595072542,0.5961616513729967,86740,240968335,98575,18830
UKCHLL005,annotation_1_vs_clip_unet,annotation_1.nii.gz,clip_unet,2,kidney,0.8776762031072376,0.6778786889859697,0.8774637105547888,370590,240698590,10460,92840
UKCHLL005,annotation_1_vs_clip_unet,annotation_1.nii.gz,clip_unet,3,liver,0.9401733204462428,0.741447941256351,0.9395924580068122,2180858,238714070,101931,175621
UKCHLL005,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,0,background,0.999673231330481,nan,0.9725345919290962,238225270,2791470,65934,89806
UKCHLL005,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,1,pancreas,0.8810035377816943,0.7981705945404863,0.8809083792635864,169961,240956606,29351,16562
UKCHLL005,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,2,kidney,0.9564203739657852,0.9796192480183836,0.9563512081883105,365519,240773651,14458,18852
UKCHLL005,annotation_2_vs_annotation_3,annotation_2.nii.gz,annotation_3.nii.gz,3,liver,0.9828643235464685,0.960240450011637,0.9826997499552165,2254935,238838918,47052,31575
UKCHLL005,annotation_2_vs_clip_unet,annotation_2.nii.gz,clip_unet,0,background,0.9989157196745642,nan,0.9099330381757201,238010752,2645027,280452,236249
UKCHLL005,annotation_2_vs_clip_unet,annotation_2.nii.gz,clip_unet,1,pancreas,0.5536896241824706,0.34953436151746353,0.5534340423124245,84405,240952003,114907,21165
UKCHLL005,annotation_2_vs_clip_unet,annotation_2.nii.gz,clip_unet,2,kidney,0.8718305634171877,0.6698467344978698,0.8716082613101035,367654,240696727,12323,95776
UKCHLL005,annotation_2_vs_clip_unet,annotation_2.nii.gz,clip_unet,3,liver,0.9404370451560664,0.7329778331156065,0.9398562590820676,2190497,238704511,111490,165982
UKCHLL005,annotation_3_vs_clip_unet,annotation_3.nii.gz,clip_unet,0,background,0.9989474214919539,nan,0.9122055409688126,238030229,2640632,284847,216772
UKCHLL005,annotation_3_vs_clip_unet,annotation_3.nii.gz,clip_unet,1,pancreas,0.5934411300510454,0.4107351167988168,0.5932137144192976,86670,240967057,99853,18900
UKCHLL005,annotation_3_vs_clip_unet,annotation_3.nii.gz,clip_unet,2,kidney,0.8769015370352241,0.6765977962444804,0.8766866782695709,371719,240696398,12652,91711
UKCHLL005,annotation_3_vs_clip_unet,annotation_3.nii.gz,clip_unet,3,liver,0.9391540664860503,0.7329469037912885,0.9385628145412354,2180241,238709732,106269,176238
UKCHLL007,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,0,background,0.9996260983717615,nan,0.9635841723419615,254427662,2545269,124009,66324
UKCHLL007,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,1,pancreas,0.8831103230185582,0.7726495348356344,0.8830671230951821,83918,257057131,9779,12436
UKCHLL007,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,2,kidney,0.9618654123230782,0.9126495979250643,0.9617953365972721,453962,256673306,6789,29207
UKCHLL007,annotation_1_vs_annotation_2,annotation_1.nii.gz,annotation_2.nii.gz,3,liver,0.9681395741397189,0.6674336057241175,0.9678806187518504,2007389,255023753,49756,82366
UKCHLL007,annotation_1_vs_annotation_3,annotation_1.nii.gz,annotation_3.nii.gz,0,background,0.999581877746187,nan,0.9602027051477974,254355066,2595406,196605,16187
