pair,mean_case_multiclass_kappa,cases_with_multiclass_kappa,mean_case_exact_agreement,cases_with_exact_agreement,mean_case_foreground_multiclass_kappa,cases_with_foreground_multiclass_kappa,mean_case_foreground_exact_agreement,cases_with_foreground_exact_agreement
annotation_1_vs_annotation_2,0.9636501727390299,1,0.9992598748474432,1,1.0,1,0.9304237239189034,1
annotation_1_vs_annotation_3,0.960277096435641,1,0.9991725412226842,1,1.0,1,0.9242247163483487,1
annotation_2_vs_annotation_3,0.9684240570065474,1,0.9993352821964493,1,1.0,1,0.9392989987979894,1
