pair,label,class,mean_case_dsc,mean_case_nsd,mean_case_binary_kappa,micro_dsc,micro_binary_kappa,tp,tn,fp,fn,cases_with_dsc,cases_with_nsd,cases_with_binary_kappa
combined_mask_vs_segresnet,0,background,0.9982340769557994,nan,0.93821348328428,0.9986028546006592,0.9447607145159976,1018158353,25032425,1802520,1046491,50,0,50
combined_mask_vs_segresnet,1,pancreas,0.8348433049803566,0.6211459603868311,0.8346692875480651,0.8735905614695822,0.8734647706079016,909268,1044867377,163079,100065,50,49,50
combined_mask_vs_segresnet,2,kidney,0.9355764520626156,0.7532418723824366,0.9352537948141334,0.9398088936490973,0.9395620483395251,4022750,1041501756,443564,71719,50,50,50
combined_mask_vs_segresnet,3,liver,0.9465173701844123,0.6614546945657179,0.94532226881801,0.9509107316488563,0.9498992267047223,20098163,1023866554,442092,1632980,50,50,50
