pair,label,class,mean_case_dsc,mean_case_nsd,mean_case_binary_kappa,micro_dsc,micro_binary_kappa,tp,tn,fp,fn,cases_with_dsc,cases_with_nsd,cases_with_binary_kappa
combined_mask_vs_swin5050,0,background,0.995477062974857,nan,0.797335428929319,0.9959992476073947,0.8354388621202108,1016527564,21345803,5489142,2677280,50,0,50
combined_mask_vs_swin5050,1,pancreas,0.40353642509826715,0.2746276253660067,0.40331201730400884,0.48921652766264795,0.48892426873543227,350859,1044956277,74179,658474,50,50,50
combined_mask_vs_swin5050,2,kidney,0.6001784212710752,0.5101323370790429,0.5996358644106208,0.7233133107070603,0.7225048175339213,2358588,1041876755,68565,1735881,50,49,50
combined_mask_vs_swin5050,3,liver,0.8385856099760736,0.6247342635658049,0.83667676664915,0.8661197539930215,0.8633172955055043,18579150,1021716904,2591742,3151993,50,50,50
