pair,label,class,mean_case_dsc,mean_case_nsd,mean_case_binary_kappa,micro_dsc,micro_binary_kappa,tp,tn,fp,fn,cases_with_dsc,cases_with_nsd,cases_with_binary_kappa
combined_mask_vs_unweighted,0,background,0.9975212509385148,nan,0.926355907957782,0.9978108795788101,0.9200747487638453,1015165215,26420185,414760,4039629,50,0,50
combined_mask_vs_unweighted,1,pancreas,0.816746783834077,0.517239524528931,0.8165159288221789,0.8472246480060057,0.8470599033750705,967736,1044723040,307416,41597,50,49,50
combined_mask_vs_unweighted,2,kidney,0.9112516023284356,0.6656648285340997,0.9107588789250015,0.9096284789065315,0.9092431092533164,4069530,1041161644,783676,24939,50,50,50
combined_mask_vs_unweighted,3,liver,0.9390964356045758,0.7230924029263022,0.937502067251494,0.9282026400637967,0.9265915111023512,21377713,1021354903,2953743,353430,50,50,50
