pair,label,class,mean_case_dsc,mean_case_nsd,mean_case_binary_kappa,micro_dsc,micro_binary_kappa,tp,tn,fp,fn,cases_with_dsc,cases_with_nsd,cases_with_binary_kappa
combined_mask_vs_staple,0,background,0.9985956445492011,nan,0.9473418617670453,0.9989504199609726,0.9588913701375185,1018262586,25637461,1197484,942258,50,0,50
combined_mask_vs_staple,1,pancreas,0.8338109397678396,0.6430307386184229,0.8336639716496782,0.8850931204491966,0.8849811164143611,901651,1044904025,126431,107682,50,49,50
combined_mask_vs_staple,2,kidney,0.9282034590057693,0.7674745437393602,0.9279076389665277,0.9429813459657558,0.9427494052043497,4001117,1041554806,390514,93352,50,50,50
combined_mask_vs_staple,3,liver,0.9582403228270964,0.7420442037174536,0.9574188897461368,0.9667711163438405,0.9660757351979843,20732962,1023881602,427044,998181,50,50,50
