label,class,mean_case_dsc,mean_case_nsd,micro_dsc,tp,fp,fn,cases_with_dsc,cases_with_nsd
0,background,0.9986952450539501,0.9569455208603423,0.9986582399003388,4644550162,2542412,9938078,20,20
1,pancreas,0.5753942812828367,0.3667335492492711,0.5852634489760585,1443437,1047531,998201,20,20
2,kidney,0.8688471214018607,0.6651886163329819,0.8627681299231921,9000618,2640330,222946,20,20
3,liver,0.9327433299679087,0.6652180767898629,0.9242181471301405,46381372,6267546,1338594,20,20
